# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 103
# Name = "Two Micron All Sky Survey 2MASS H"
# Description = "From: http://spider.ipac.caltech.edu/staff/waw/2mass/opt_cal/#s16"
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 6:17:48 PM
# DateModified = 7/24/2003 5:31:17 PM
# WavelengthMin = 14400
# WavelengthMax = 18500
# WavelengthEff = 16513.3090071534
# WavelengthScale = Linear
# EffectiveWidth = 2509.40449265734
# Unit = 
# Wavelength Value
12890 0
13150 0
13410 0
13680 0
13970 0
14180 0
14400 0.000500000023748726
14620 0.00279999990016222
14780 0.00810000021010637
14860 0.0286999996751547
14930 0.0870999991893768
15040 0.201399996876717
15150 0.438199996948242
15280 0.68639999628067
15390 0.818099975585938
15460 0.882099986076355
15510 0.911800026893616
15560 0.926900029182434
15650 0.929300010204315
15720 0.872699975967407
15770 0.856599986553192
15830 0.882600009441376
15920 0.918099999427795
15970 0.926699995994568
16020 0.907599985599518
16130 0.925999999046326
16190 0.920499980449677
16280 0.924199998378754
16330 0.923500001430511
16420 0.941799998283386
16480 0.949100017547607
16570 0.980700016021729
16590 0.99370002746582
16710 1
16840 0.956099987030029
17010 0.924099981784821
17150 0.982100009918213
17270 0.991599977016449
17390 0.988699972629547
17460 0.979200005531311
17510 0.968200027942657
17530 0.936999976634979
17560 0.919000029563904
17640 0.842299997806549
17750 0.667100012302399
17850 0.269400000572205
17900 0.451599985361099
17960 0.173099994659424
18030 0.107699997723103
18100 0.0706999972462654
18130 0.00510000018402934
18180 0.0199999995529652
18280 0.00039999998989515
18350 0
18500 9.99999974737875E-05
18710 0
18930 0
19140 0
