# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 104
# Name = "Two Micron All Sky Survey 2MASS KS"
# Description = "From: http://spider.ipac.caltech.edu/staff/waw/2mass/opt_cal/#s16"
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 6:17:51 PM
# DateModified = 7/24/2003 5:31:22 PM
# WavelengthMin = 19340
# WavelengthMax = 23840
# WavelengthEff = 21655.9876426083
# WavelengthScale = Linear
# EffectiveWidth = 2618.86999354669
# Unit = 
# Wavelength Value
19000 0
19150 0
19270 0
19340 0.000199999994947575
19390 0.000500000023748726
19480 0.00540000014007092
19570 0.0119000002741814
19620 0.0197000000625849
19690 0.0421999990940094
19760 0.0873000025749207
19810 0.152799993753433
19890 0.248199999332428
19900 0.190200001001358
19980 0.233899995684624
20080 0.294600009918213
20140 0.398200005292892
20190 0.336600005626678
20280 0.620700001716614
20370 0.764999985694885
20450 0.746399998664856
20610 0.625100016593933
20720 0.725499987602234
20750 0.689499974250793
20820 0.787899971008301
20890 0.818099975585938
20990 0.822799980640411
21060 0.863300025463104
21130 0.877799987792969
21200 0.854900002479553
21240 0.895299971103668
21380 0.918900012969971
21450 0.926800012588501
21550 0.926699995994568
21690 0.90090000629425
21760 0.922800004482269
21850 0.84280002117157
21970 0.945900022983551
22080 0.980400025844574
22130 0.987900018692017
22180 0.984799981117249
22320 0.964699983596802
22370 0.981599986553192
22480 0.983399987220764
22560 0.961300015449524
22600 0.979200005531311
22630 1
22650 0.963199973106384
22700 0.981199979782104
22720 0.968100011348724
22760 0.910899996757507
22770 0.982100009918213
22810 0.889599978923798
22840 0.891799986362457
22860 0.942399978637695
22910 0.840399980545044
22930 0.804199993610382
22950 0.70770001411438
22970 0.657599985599518
22990 0.560699999332428
23060 0.443699985742569
23110 0.348199993371964
23160 0.230199992656708
23200 0.162599995732307
23250 0.136000007390976
23280 0.0921000018715858
23350 0.0623999983072281
23390 0.0430999994277954
23440 0.034000001847744
23460 0.0309999994933605
23520 0.0118000004440546
23610 0.00680000009015203
23630 0.000699999975040555
23700 0.00300000002607703
23750 0.00209999992512167
23840 0.00039999998989515
23990 0
